id,Gary Lewis,Gil Pagan,Lindsay Mahaffey,OVER VOTES,UNDER VOTES,WRITE-IN
03-00,568,689,1073,4,704,8
06-04,625,546,940,2,773,19
06-05,499,885,739,2,691,9
06-06,792,945,1501,2,1154,16
06-08,386,396,606,1,485,5
06-09,1000,932,1235,5,1074,17
06-10,483,645,637,1,593,15
12-09,687,954,807,0,832,7
18-05,798,1210,1231,6,1008,17
20-01,649,556,991,1,681,17
20-03,585,685,1089,3,693,18
20-05,600,948,946,2,784,13
20-06A,763,688,1449,2,908,16
20-06B,585,717,997,3,693,13
20-08,895,799,1268,2,841,10
20-09,488,485,868,1,544,7
20-11,620,755,1082,1,718,11
20-12,475,521,729,3,502,12
20-14,1195,969,1367,5,1229,16
20-15,611,481,821,4,631,13
20-16,358,303,530,5,420,15
20-17,578,613,923,2,799,11
