id,David Price,Sue Googe,over,under
01-01,1212,446,0,47
01-02,1111,514,0,46
01-03,980,808,2,45
01-04,613,452,0,28
01-05,517,413,0,20
01-06,1639,685,0,63
01-07,1239,454,0,53
01-07A,191,26,0,20
01-09,758,265,1,23
01-10,853,466,1,27
01-11,819,1012,1,36
01-12,950,607,0,42
01-13,1050,276,0,27
01-14,2312,591,1,89
01-15,859,678,2,48
01-16,1450,724,1,70
01-17,459,449,0,31
01-18,1394,837,3,80
01-19,1310,58,0,38
01-20,1771,263,1,66
01-21,2121,917,3,125
01-22,2855,144,1,64
01-23,3360,1846,2,302
01-25,410,48,0,15
01-26,1784,125,2,69
01-27,1263,251,1,51
01-28,2727,486,1,87
01-29,1117,937,0,51
01-30,587,513,1,37
01-31,1977,609,0,117
01-32,1368,569,1,67
01-33,789,451,0,33
01-34,1119,63,0,32
01-35,1564,66,0,52
01-36,972,1030,0,61
01-37,888,671,1,47
01-38,1262,496,3,70
01-39,1428,683,0,81
01-40,2918,201,2,81
01-41,1209,427,0,63
01-43,1240,491,0,71
01-44,1925,934,6,89
01-45,864,623,0,41
01-46,1935,299,3,80
01-48,1386,460,0,53
01-49,1627,648,1,82
01-50,1959,129,0,46
01-51,557,391,2,34
04-01,1108,649,0,72
04-02,1255,791,0,65
04-03,1038,569,0,57
04-04,839,521,0,53
04-05,1833,1089,1,79
04-06,1431,1000,1,91
04-08,1304,647,0,56
04-09,1098,952,1,52
04-10,1301,974,0,78
04-11,849,381,0,35
04-12,1305,1046,0,60
04-13,2104,1608,5,142
04-14,831,609,0,40
04-15,1210,804,0,59
04-16,1099,687,1,59
04-17,1014,572,0,55
04-18,1319,848,3,59
04-19,876,625,0,54
04-20,1586,901,4,86
04-21,974,429,0,62
05-01,1878,1360,3,127
05-03,1494,1285,0,100
05-05,3499,2172,0,202
05-06,2256,1779,2,131
05-07,3555,1657,2,174
05-08,1583,733,4,79
07-01,898,515,0,35
07-02,784,584,0,30
07-03,755,601,2,33
07-04,2212,1114,1,114
07-05,896,615,3,36
07-06,1552,1367,1,74
07-07,1722,1283,0,83
07-07A,299,174,1,30
07-09,1581,1006,0,84
07-10,2413,1477,1,126
07-11,589,462,1,24
07-12,1360,789,1,90
07-13,1143,740,0,47
08-02,1889,1378,0,85
08-03,2358,1818,2,135
08-05,940,885,1,40
08-06,1253,495,2,59
08-09,1033,636,0,71
08-10,1285,874,1,73
08-11,1921,1296,1,140
11-01,2365,1434,0,150
11-02,2092,1410,0,105
13-01,2697,638,0,98
13-02,881,811,0,66
13-05,1164,440,0,75
13-06,1388,1093,0,77
13-07,1287,558,2,62
13-08,1616,387,2,79
13-09,2460,769,0,104
16-02,3066,646,0,101
16-03,775,418,1,37
16-04,1174,981,1,63
16-05,91,55,1,4
16-06,794,376,0,31
16-07,1560,1149,0,72
16-08,4865,781,4,130
17-01,1527,594,1,75
17-02,434,338,0,30
17-03,3417,1558,1,164
17-04,2923,1595,4,146
17-05,2245,835,2,94
17-07,2431,424,2,63
17-08,4001,2089,2,201
17-09,2441,244,2,66
17-10,629,296,1,39
17-11,2510,772,3,99
18-01,2611,1149,0,158
18-06,2117,1108,0,118
18-08,1722,1399,3,101
19-16,1153,1060,1,60
19-17,2533,1370,2,118
20-01,1552,1230,1,112
20-03,1505,1460,0,108
20-04,1641,1223,0,99
20-09,1221,1099,0,73
20-10,1545,1062,0,93
20-14,2679,1962,0,140
20-15,1760,1062,0,103
20-16,1530,862,1,75
20-17,1550,1261,0,115
