id,Charles Meeker,Cherie Berry,OVER VOTES,UNDER VOTES,WRITE-IN
01-01,1143,492,0,67,3
01-02,1024,592,1,53,1
01-03,937,845,0,52,1
01-04,593,457,0,42,1
01-05,501,436,0,10,3
01-06,1488,805,0,90,4
01-07,1167,510,0,67,2
01-07A,197,25,0,15,0
01-09,714,304,0,28,1
01-10,798,507,0,41,1
01-11,735,1091,2,38,2
01-12,883,644,1,66,5
01-13,999,296,2,52,4
01-14,2232,645,4,105,7
01-15,796,742,0,47,2
01-16,1340,811,0,89,5
01-17,413,487,0,39,0
01-18,1313,910,0,89,2
01-19,1296,66,1,42,1
01-20,1685,324,4,84,4
01-21,1971,1042,1,149,3
01-22,2784,210,0,63,7
01-23,3045,2071,3,377,14
01-25,399,59,0,14,1
01-26,1759,135,0,83,3
01-27,1216,286,0,63,1
01-28,2609,583,3,101,5
01-29,1033,1006,3,60,3
01-30,561,539,1,37,0
01-31,1857,674,2,159,11
01-32,1248,642,2,110,3
01-33,742,495,0,36,0
01-34,1103,74,1,34,2
01-35,1530,90,1,56,5
01-36,889,1086,1,87,0
01-37,800,750,0,57,0
01-38,1174,572,3,80,2
01-39,1323,785,1,81,2
01-40,2866,248,3,82,3
01-41,1102,494,2,100,1
01-42,1003,1359,1,82,2
01-43,1154,569,0,74,5
01-44,1790,1037,3,120,4
01-45,820,660,0,45,3
01-46,1869,347,1,95,5
01-47,835,1036,0,53,1
01-48,1315,519,0,64,1
01-49,1527,721,4,101,5
01-50,1912,150,3,63,6
01-51,506,440,0,36,2
02-01,1155,1437,1,101,2
02-02,1726,2784,2,221,3
02-03,933,1558,1,93,2
02-04,750,1247,1,79,0
02-05,359,522,0,29,1
02-06,824,1401,0,71,0
03-00,1135,1751,0,155,5
04-01,974,746,1,104,4
04-02,1148,882,0,79,2
04-03,954,627,1,82,0
04-04,764,582,0,64,3
04-05,1642,1256,0,102,2
04-06,1258,1129,0,133,3
04-07,970,1446,0,78,2
04-08,1195,710,1,100,1
04-09,940,1069,1,91,2
04-10,1172,1056,1,120,4
04-11,751,458,2,53,1
04-12,1178,1133,0,99,1
04-13,1845,1790,1,219,4
04-14,744,677,0,59,0
04-15,1080,888,1,102,2
04-16,1010,759,1,73,3
04-17,920,631,0,85,5
04-18,1168,943,1,116,1
04-19,775,704,2,72,2
04-20,1434,1018,1,121,3
04-21,889,489,3,82,2
05-01,1720,1481,1,161,5
05-03,1292,1424,1,160,2
05-05,3158,2411,3,298,3
05-06,1997,1965,4,198,4
05-07,3233,1862,4,283,6
05-08,1419,841,1,133,5
06-04,1321,1415,1,163,5
06-05,964,1745,1,112,3
06-06,1840,2325,4,238,3
06-07,1263,1388,1,127,4
06-08,901,892,2,78,6
06-09,1536,2466,1,255,5
06-10,889,1377,2,103,3
07-01,852,542,1,51,2
07-02,738,603,0,56,1
07-03,693,658,1,38,1
07-04,2024,1280,3,133,1
07-05,811,674,1,61,3
07-06,1360,1516,2,114,2
07-07,1549,1434,0,103,2
07-07A,267,202,0,34,1
07-09,1470,1072,1,120,8
07-10,2207,1617,2,186,5
07-11,544,498,0,33,1
07-12,1264,873,3,99,1
07-13,1052,804,3,70,1
08-02,1703,1532,6,109,2
08-03,2115,2015,1,180,2
08-04,643,824,0,64,2
08-05,839,966,0,58,3
08-06,1170,553,3,77,6
08-07,974,1251,1,77,2
08-08,1643,1910,1,149,1
08-09,932,727,1,78,2
08-10,1155,985,2,87,4
08-11,1720,1458,1,176,3
09-01,809,983,1,66,1
09-02,1600,1010,0,107,9
09-03,880,1310,2,72,2
10-01,330,676,0,28,1
10-02,1479,1382,1,86,5
10-03,1063,1005,0,57,5
10-04,2893,2277,3,145,9
11-01,2130,1617,1,196,5
11-02,1898,1577,2,127,3
12-01,1488,2817,0,187,3
12-02,1531,1849,3,164,12
12-04,973,2259,0,126,2
12-05,2233,3582,4,267,4
12-06,1038,1763,1,134,9
12-07,783,1262,1,92,4
12-08,1667,1654,2,147,4
12-09,1173,1956,0,156,2
13-01,2577,731,1,115,9
13-02,786,888,1,83,0
13-05,1070,522,0,85,2
13-06,1329,1139,2,82,6
13-07,1221,608,3,73,4
13-08,1574,426,0,79,5
13-09,2311,882,2,132,6
13-10,2186,2425,2,209,5
13-11,1179,1419,0,92,1
14-01,206,403,0,26,1
14-02,1423,3248,3,205,5
15-01,1223,2089,2,128,5
15-02,1788,2398,2,152,6
15-03,1180,2382,1,130,3
15-04,700,1078,0,62,1
16-01,865,1175,1,71,3
16-02,2937,762,1,107,6
16-03,716,470,0,44,1
16-04,1074,1065,0,79,1
16-05,996,1075,1,84,3
16-06,735,427,0,37,2
16-07,1384,1303,1,92,1
16-08,4679,932,6,155,8
16-09,1473,1056,1,112,6
17-01,1474,644,1,75,3
17-02,386,386,1,29,0
17-03,3206,1713,2,214,5
17-04,2715,1803,1,145,4
17-05,2087,947,2,129,11
17-06,703,860,0,51,1
17-07,2335,522,3,56,4
17-08,3717,2341,3,224,8
17-09,2372,299,4,74,4
17-10,562,354,0,46,3
17-11,2366,902,2,113,1
18-01,2363,1336,1,212,6
18-02,1453,2392,1,166,7
18-03,981,958,0,80,0
18-04,1370,1818,2,103,3
18-05,1878,2226,1,163,2
18-06,1903,1245,1,190,4
18-07,986,1721,1,113,3
18-08,1551,1508,0,163,3
19-03,955,1403,0,111,4
19-04,2704,3115,3,258,6
19-05,870,1623,0,121,3
19-07,1052,1187,1,125,3
19-09,1383,2046,1,142,1
19-10,2472,3926,4,317,6
19-11,966,1304,0,150,1
19-12,1903,2440,0,238,8
19-13,934,770,1,93,2
19-14,960,1238,2,96,2
19-15,849,1186,2,102,3
19-16,1027,1169,0,75,3
19-17,2346,1536,2,134,5
20-01,1394,1360,2,136,3
20-03,1318,1604,1,149,1
20-04,1425,1377,1,157,3
20-05,1380,1751,1,160,1
20-06A,1810,1775,1,234,6
20-06B,1189,1645,1,172,1
20-08,1665,1923,1,222,4
20-09,1056,1226,1,108,2
20-10,1285,1263,2,147,3
20-11,1270,1722,1,188,6
20-12,893,1221,2,124,2
20-14,2375,2149,4,246,7
20-15,1610,1147,1,163,4
20-16,1396,943,0,127,2
20-17,1374,1353,3,193,3
