id,Chase Oliver,Cornel West,Donald J. Trump,Jill Stein,Kamala D. Harris,Randall Terry,Write-In,over,under
13-06,14,4,992,14,1614,5,16,4,13
13-07,9,6,550,19,1459,1,5,4,8
13-08,6,5,560,22,2104,2,6,4,8
13-09,26,15,920,44,2823,2,18,2,15
13-10,16,6,2108,28,3261,4,25,2,29
13-11,16,3,1222,6,1746,2,11,1,23
14-01,8,0,507,2,279,1,1,0,1
14-02,37,5,4231,29,3113,6,31,2,32
15-01,26,7,2032,13,1775,7,11,2,16
15-02,30,13,2576,26,2832,8,27,2,31
15-03,32,2,2761,27,2037,9,22,1,25
15-04,14,2,1092,13,975,3,6,0,7
16-01,20,4,1251,17,1622,8,12,4,3
16-02,14,21,892,33,3256,7,12,8,14
16-03,9,4,424,10,819,2,3,0,4
16-04,10,7,1059,17,1533,4,9,3,9
16-05,11,10,943,12,1242,6,3,1,11
16-06,7,1,335,5,729,1,8,0,6
16-07,18,7,1170,19,1860,4,17,2,18
16-09,28,24,1640,30,2929,4,16,5,18
16-10,12,29,623,20,3336,2,9,3,10
16-11,13,28,926,19,3077,2,18,3,10
17-01,11,7,603,34,1578,1,4,4,6
17-02,13,7,714,12,1128,2,8,0,9
17-03,31,18,1639,42,4015,4,25,2,12
17-05,10,16,969,43,2352,1,13,4,12
17-06,8,5,932,7,1138,3,4,0,7
17-07,11,19,551,16,2471,5,11,6,10
17-09,6,24,438,21,2595,4,8,2,8
17-10,2,5,348,3,692,0,1,2,2
17-11,11,16,1075,38,2807,3,11,4,9
17-12,12,18,757,14,2170,4,9,1,8
17-13,20,25,1504,27,3067,6,18,2,22
17-14,17,17,1323,37,3079,3,12,1,19
17-15,10,6,804,5,1461,1,12,0,10
18-01,26,17,887,81,2814,6,17,3,11
18-02,32,2,2273,30,2252,5,24,1,23
18-03,7,3,747,18,1312,5,12,0,7
18-04,28,6,1874,49,2128,8,11,0,24
18-05,26,2,1881,38,2866,7,28,3,23
18-06,19,24,955,138,2298,2,14,2,17
18-07,24,10,1844,28,1733,6,20,2,18
18-08,23,7,1345,65,2348,6,12,1,18
19-03,18,8,1429,23,1626,12,20,1,19
19-05,14,2,1730,16,1454,6,31,4,13
19-07,24,11,2204,20,2659,8,35,1,22
19-09,21,7,2588,22,2291,6,24,3,26
19-11,14,11,1392,10,1723,2,12,1,15
19-13,7,5,734,6,1130,3,7,5,10
19-14,18,7,1135,19,1516,5,8,3,12
19-15,13,8,1236,18,1432,3,9,1,8
19-16,13,9,1112,22,1379,2,6,3,9
19-17,26,11,1440,38,3236,3,10,1,11
19-18,23,10,1724,18,2033,6,13,0,11
19-19,33,4,3467,20,3443,13,27,1,33
19-20,15,8,1565,18,1826,5,21,2,16
19-21,26,10,1900,47,2750,7,22,4,15
19-22,15,0,1390,14,1596,4,11,1,15
19-23,32,15,1954,16,2609,2,16,1,24
20-01,17,4,1225,45,2044,3,14,2,23
20-03,23,3,1598,33,2484,8,19,2,23
20-04,15,3,1006,47,2134,6,25,0,14
20-05,24,7,1599,40,2273,6,20,0,16
20-06A,26,10,1664,53,3040,7,26,3,23
20-06B,29,4,1285,21,1973,6,17,0,13
20-08,33,8,1772,68,2657,7,22,0,23
20-09,27,3,926,12,1604,5,14,0,14
20-10,13,5,880,43,1944,1,11,3,13
20-11,37,4,2181,59,3438,8,20,2,28
20-12,28,7,2196,68,3504,7,14,1,21
20-14,34,10,2296,104,4463,8,20,5,29
20-15,29,9,1278,60,2947,4,15,2,17
20-16,17,10,1191,48,2840,2,7,0,12
20-17,16,3,1592,58,2974,4,9,0,17
